Individual Index,Selection Index,Movie Selection 1,Movie Genre,Other,Gender,Birth Year
58,2,The Money Pit,Thriller,,Male,1976
59,2,Toy Story Series,Drama,,Respondent skipped this question,XXXX
60,2,Apollo 13,Thriller,,Female,1994
1,3,The Da Vinci Code Series,Horror,,Male,1992
2,3,Cast Away,Drama,,Female,1990
3,3,Cast Away,History,,Female,1981
4,3,Sleepless in Seattle,Drama,,Female,1988
5,3,Cast Away,Drama,,Male,1991
6,3,You've Got Mail,Romance,,Female,1953
7,3,Catch Me if You Can,Romance,,Female,1986
8,3,Cast Away,Drama,,Male,1989
9,3,The Polar Express,Comedy,,Female,1979
10,3,Cast Away,Other,Romantic Comedy,Female,1988
11,3,Saving Mr. Banks,Adventure,,Female,1989
12,3,Catch Me if You Can,Crime,,Male,1989
13,3,The Green Mile,Drama,,Female,1960
14,3,Saving Private Ryan,Drama,,Male,1988
15,3,Cast Away,Comedy,,Female,1992
16,3,Joe Versus the Volcano,Horror,,Female,1988
17,3,Catch Me if You Can,Romance,,Male,1988
18,3,Catch Me if You Can,Thriller,,Female,1990
19,3,Saving Private Ryan,Comedy,,Male,1979
20,3,Toy Story Series,Comedy,,Female,1991
21,3,You've Got Mail,Romance,,Female,1961
22,3,Saving Private Ryan,Other,,Other,1000
23,3,The Green Mile,Action,,Female,1988
24,3,Sleepless in Seattle,Thriller,,Female,1964
25,3,Saving Private Ryan,Action,,Male,1963
26,3,Toy Story Series,Comedy,,Female,1970
27,3,Sully,Drama,,Male,1953
28,3,The Green Mile,Action,,Male,1963
29,3,Catch Me if You Can,Comedy,,Male,1988
30,3,Saving Mr. Banks,Drama,,Female,1953
31,3,Saving Private Ryan,Drama,,Male,1959
32,3,Saving Private Ryan,Drama,,Female,1974
33,3,You've Got Mail,Drama,,Female,1988
34,3,Road to Perdition,Mystery,,Female,1958
35,3,Cast Away,Science Fiction,,Male,1988
36,3,Cast Away,Comedy,,Female,1988
37,3,Toy Story Series,Romance,,Female,1980
38,3,The Terminal,Adventure,,Male,1980
39,3,Cast Away,Drama,,Male,1989
40,3,The Ladykillers,Comedy,,Male,1973
41,3,The Post,Drama,,Female,1989
42,3,Forrest Gump,Action,,Female,1990
43,3,The Post,Thriller,,Male,1991
44,3,Saving Private Ryan,Drama,,Male,1964
45,3,You've Got Mail,Romance,,Female,1991
46,3,Forrest Gump,Comedy,,Female,1988
47,3,You've Got Mail,Drama,,Female,1965
48,3,Catch Me if You Can,Other,Spaghetti Western,Male,1989
49,3,A Beautiful Day in the Neighborhood,Comedy,,Female,2004
50,3,Forrest Gump,Drama,,Female,1963
51,3,The Green Mile,Comedy,,Male,1988
52,3,You've Got Mail,Comedy,,Female,1990
53,3,The 'Burb,Other,Spa Getti West Erns,Other,1982
54,3,A Beautiful Day in the Neighborhood,History,Yo Mama,Male,97
55,3,You've Got Mail,Other,Spaghetti Western,Other,173
56,3,The 'Burbs,Science Fiction,,Male,1976
57,3,That Thing You Do!,Drama,,Respondent skipped this question,XXXX
58,3,The 'Burbs,Thriller,,Male,1976
59,3,That Thing You Do!,Drama,,Respondent skipped this question,XXXX
60,3,Cast Away,Thriller,,Female,1994
